hour_utc,fills,fee_micro_usdc,largest_single_fee_micro_usdc
2026-07-11T17,32,13130383,3600369
2026-07-11T18,4,262738,261124
2026-07-11T19,6,3539380,1468846
2026-07-11T20,12,744814,157727
2026-07-11T21,31,3472511,200707
2026-07-11T22,79,15996851,397866
2026-07-11T23,107,11039995,332480
2026-07-12T00,26,804511,145761
2026-07-12T01,58,18756697,3592596
2026-07-12T02,8,2560538,1440561
2026-07-12T03,5,2383173,1998910
2026-07-12T04,45,4286424,431308
2026-07-12T05,14,4894814,3585620
2026-07-12T06,10,1706081,422604
2026-07-12T07,11,1341879,172844
2026-07-12T08,15,3770738,1994790
2026-07-12T09,6,640031,194625
2026-07-12T10,5,469422,196650
2026-07-12T11,3,376977,158472
2026-07-12T12,13,736654,101240
2026-07-12T13,5,210374,101224
2026-07-12T14,4,2330778,1995225
2026-07-12T15,13,2573615,399643
2026-07-12T16,5,1128991,405647
2026-07-12T18,9,423995,93889
2026-07-12T19,3,4022570,4015225
2026-07-12T20,19,3683644,1591607
2026-07-12T21,7,3203306,1596680
2026-07-12T22,10,4938798,3598232
2026-07-12T23,9,628518,245093
2026-07-13T00,6,3482582,2661005
2026-07-13T01,43,4888531,708645
2026-07-13T02,58,13822197,3572232
2026-07-13T03,59,6242282,746854
2026-07-13T04,30,7849465,3369201
2026-07-13T05,28,8597017,2513406
2026-07-13T06,25,9739830,3597276
2026-07-13T07,26,4651014,1980658
2026-07-13T08,12,6106867,2458157
2026-07-13T09,9,882693,243753
2026-07-13T10,20,7290436,3614415
2026-07-13T11,38,5132808,771019
2026-07-13T12,27,16196994,4348033
2026-07-13T13,24,7595902,2810543
2026-07-13T14,40,8572869,4124228
2026-07-13T15,36,19411605,6925682
2026-07-13T16,34,2224571,841122
2026-07-13T17,34,4106690,2937403
2026-07-13T18,9,746696,371825
2026-07-13T19,4,8003635,5711914
2026-07-13T20,20,2559630,200135
2026-07-13T21,27,4762927,767752
2026-07-13T22,81,19233846,399066
2026-07-13T23,58,11647366,395272
2026-07-14T00,8,1676238,499480
2026-07-14T01,81,16180364,1164953
2026-07-14T02,66,16061188,2106361
2026-07-14T03,111,26199065,2992482
2026-07-14T04,92,16442169,388631
2026-07-14T05,80,23940873,798332
2026-07-14T06,62,24922733,800942
2026-07-14T07,57,21286795,3208846
2026-07-14T08,32,879085,216059
2026-07-14T09,119,1538519,197121
2026-07-14T10,28,4112131,712820
2026-07-14T11,113,234304111,82861620
2026-07-14T12,118,29947808,8388379
2026-07-14T13,97,11465229,3258851
2026-07-14T14,72,55829682,13484008
2026-07-14T15,61,10122749,2016931
2026-07-14T16,44,19310005,5869386
2026-07-14T17,36,27485320,6777422
2026-07-14T18,17,2740839,1103480
2026-07-14T19,6,163691,46884
2026-07-14T20,10,1264674,187348
2026-07-14T21,9,4350124,3140000
2026-07-14T22,9,371801,131586
2026-07-14T23,2,7793,3899
2026-07-15T00,6,3241151,3153600
2026-07-15T01,36,3415595,629200
2026-07-15T02,39,5299573,332080
2026-07-15T03,14,1176960,200299
2026-07-15T04,42,20960114,2433226
2026-07-15T05,51,20433087,9340800
2026-07-15T06,9,14111661,3998741
2026-07-15T07,21,2224357,198580
2026-07-15T08,46,5524706,2019961
2026-07-15T09,56,15190375,3160000
2026-07-15T10,49,6474151,1528172
2026-07-15T11,54,3858572,599628
2026-07-15T12,13,624334,199418
2026-07-15T13,25,3479142,1809981
2026-07-15T14,25,1232918,360830
2026-07-15T15,31,1680618,337520
2026-07-15T16,87,33505045,13711824
2026-07-15T17,74,6594076,820678
2026-07-15T18,13,2386852,381514
2026-07-15T19,66,11207601,798927
2026-07-15T20,22,1922062,165505
2026-07-15T21,45,22598266,4189336
2026-07-15T22,12,3668557,3079884
2026-07-15T23,124,40597772,795214
2026-07-16T00,174,28456998,780696
2026-07-16T01,155,38902199,1406743
2026-07-16T02,58,15128736,1011845
2026-07-16T03,160,34048766,2063653
2026-07-16T04,219,82190748,5306573
2026-07-16T05,80,33694302,2801000
2026-07-16T06,80,15873737,941532
2026-07-16T07,104,25815174,1283303
2026-07-16T08,190,53580925,2775067
2026-07-16T09,129,38794469,4208780
2026-07-16T10,52,15860944,1172955
2026-07-16T11,55,19502456,4095631
2026-07-16T12,34,19704931,5127131
2026-07-16T13,109,23637786,1211000
2026-07-16T14,83,23361371,5091792
2026-07-16T15,109,22900105,2173670
2026-07-16T16,64,13361940,2294602
2026-07-16T17,68,14224744,2028940
2026-07-16T18,46,14521052,3934409
2026-07-16T19,22,7516226,4248418
2026-07-16T20,18,7647155,800658
2026-07-16T21,95,7688966,412490
2026-07-16T22,69,22766070,2254560
2026-07-16T23,26,7146693,803777
2026-07-17T00,71,40091712,10824839
2026-07-17T01,48,9023104,429548
2026-07-17T02,16,3365313,392871
2026-07-17T03,32,5589388,403739
2026-07-17T04,54,18611873,6847799
2026-07-17T05,128,39744412,11169494
2026-07-17T06,73,10616454,553745
2026-07-17T07,215,53048754,799961
2026-07-17T08,53,15550476,1145708
2026-07-17T09,181,54984797,1302785
2026-07-17T10,25,7756755,1274262
2026-07-17T11,53,12180784,802129
2026-07-17T12,78,40073212,1083772
2026-07-17T13,208,77087201,826531
2026-07-17T14,80,23313785,788658
2026-07-17T15,30,3904781,785258
2026-07-17T16,40,10164339,805216
2026-07-17T17,67,20890326,805085
2026-07-17T18,19,1298908,210846
2026-07-17T19,60,5784093,241554
2026-07-17T20,102,41796382,2360708
2026-07-17T21,82,19063219,1051219
2026-07-17T22,37,10588922,1066480
2026-07-17T23,13,3313629,397311
2026-07-18T00,25,9370213,1850963
2026-07-18T01,13,1857680,381235
2026-07-18T02,19,1935510,190761
2026-07-18T03,12,622695,121194
2026-07-18T04,5,2818641,2789804
2026-07-18T05,2,481258,240768
2026-07-18T06,49,4100935,481986
2026-07-18T07,40,2341932,200401
2026-07-18T08,18,395740,286800
2026-07-18T09,55,3999027,2801270
2026-07-18T10,40,919989,73994
2026-07-18T11,13,779341,483064
2026-07-18T12,55,5516242,408562
2026-07-18T13,46,9086959,1281620
2026-07-18T14,49,2208148,209846
2026-07-18T15,46,4116587,2080747
2026-07-18T16,26,3130188,1207178
2026-07-18T17,19,517816,201387
2026-07-18T18,29,8180205,992591
2026-07-18T19,17,2928745,2823201
2026-07-18T20,18,5218490,1289960
2026-07-18T21,27,1270463,1070975
2026-07-18T22,37,895538,139393
2026-07-18T23,9,37560,6958
2026-07-19T00,26,819798,95232
2026-07-19T01,16,1515893,879865
2026-07-19T02,21,185845,30320
2026-07-19T03,13,1786573,1737464
2026-07-19T04,19,952050,400270
2026-07-19T05,71,6505141,2807980
2026-07-19T06,49,1397058,80482
2026-07-19T07,32,762546,302373
2026-07-19T08,14,947352,892653
2026-07-19T09,26,3862572,799683
2026-07-19T10,51,9979984,799457
2026-07-19T11,39,4744315,195390
2026-07-19T12,22,135630,27706
2026-07-19T13,19,1705174,801950
2026-07-19T14,19,988121,800204
2026-07-19T15,24,5239114,1162008
2026-07-19T16,15,122488,43524
2026-07-19T17,20,3469147,2809910
2026-07-19T18,16,131589,41437
2026-07-19T19,19,832828,307756
2026-07-19T20,13,383845,80602
2026-07-19T21,14,99319,41140
2026-07-19T22,28,35851762,25987708
2026-07-19T23,29,1858441,1292640
